,地区,lon纬度,lat经度,X,Y
0,西藏自治区 日喀则市 仲巴县,84°03′13″,29°58′47″,84.05361111111111,29.97972222222222
1,西藏自治区 日喀则市 仲巴县,84°03′18″,30°00′35″,84.05499999999999,30.009722222222223
2,西藏自治区 日喀则市 仲巴县,83°43′57″,29°41′05″,83.7325,29.684722222222224
3,西藏自治区 日喀则市 仲巴县,83°44′11″,29°42′26″,83.7363888888889,29.70722222222222
4,西藏自治区 日喀则市 仲巴县,84°10′14″,29°20′41″,84.17055555555557,29.34472222222222
5,西藏自治区 日喀则市 仲巴县,84°02′24″,29°27′08″,84.03999999999999,29.452222222222222
6,西藏自治区 日喀则市 仲巴县,84°03′54″,29°50′40″,84.065,29.844444444444445
7,西藏自治区 日喀则市 仲巴县,84°06′36″,29°51′20″,84.11,29.855555555555558
8,西藏自治区 日喀则市 仲巴县,84°25′28″,29°46′07″,84.42444444444445,29.76861111111111
9,西藏自治区 日喀则市 萨嘎县,85°14′50″,29°22′28″,85.24722222222222,29.374444444444446
10,西藏自治区 日喀则市 萨嘎县,84°37′03″,29°33′37″,84.61749999999999,29.560277777777777
11,西藏自治区 日喀则市 萨嘎县,84°53′59″,29°37′30″,84.89972222222222,29.625
12,西藏自治区 日喀则市 萨嘎县,84°50′12″,29°40′31″,84.83666666666666,29.67527777777778
13,西藏自治区 日喀则市 萨嘎县,85°05′45″,29°20′00″,85.09583333333333,29.333333333333332
14,西藏自治区 日喀则市 萨嘎县,84°53′03″,29°20′27″,84.88416666666667,29.340833333333332
15,西藏自治区 阿里地区 普兰县,81°17′24″,30°10′26″,81.28999999999999,30.17388888888889
16,西藏自治区 阿里地区 普兰县,80°58′59″,30°53′03″,80.98305555555555,30.884166666666665
17,西藏自治区 阿里地区 普兰县,81°10′27″,30°14′57″,81.17416666666666,30.249166666666667
18,西藏自治区 阿里地区 普兰县,81°14′55″,30°32′23″,81.24861111111112,30.539722222222224
19,西藏自治区 阿里地区 普兰县,81°16′23″,31°01′52″,81.27305555555556,31.03111111111111
20,西藏自治区 阿里地区 札达县,80°02′26″,31°30′13″,80.04055555555556,31.503611111111113
21,西藏自治区 阿里地区 札达县,79°44′26″,31°28′05″,79.74055555555556,31.468055555555555
22,西藏自治区 阿里地区 札达县,79°46′47″,31°50′52″,79.77972222222222,31.847777777777775
23,西藏自治区 阿里地区 札达县,79°44′43″,31°39′35″,79.74527777777777,31.65972222222222
24,西藏自治区 阿里地区 札达县,79°44′50″,31°39′30″,79.74722222222222,31.65833333333333
25,西藏自治区 阿里地区 札达县,79°44′04″,31°39′21″,79.73444444444445,31.65583333333333
26,西藏自治区 阿里地区 札达县,79°44′27″,31°42′31″,79.74083333333333,31.70861111111111
27,西藏自治区 日喀则市 定日县,87°06′30″,28°43′43″,87.10833333333333,28.72861111111111
28,西藏自治区 日喀则市 定日县,87°26′36″,28°31′28″,87.44333333333334,28.524444444444445
29,西藏自治区 日喀则市 定日县,87°32′01″,28°30′25″,87.53361111111111,28.506944444444443
30,西藏自治区 日喀则市 定日县,87°33′44″,28°31′02″,87.56222222222222,28.51722222222222
31,西藏自治区 日喀则市 定日县,87°05′28″,28°47′50″,87.0911111111111,28.797222222222224
32,西藏自治区 日喀则市 定日县,87°16′41″,28°40′29″,87.27805555555555,28.674722222222222
